,country,prevalence,cases,pop2022
0,Ukraine,6.3,2800587,39701739.0
1,United_States,5.9,17491047,338289857.0
2,Australia,5.9,1318599,26177413.0
3,Estonia,5.9,75667,1326062.0
4,Brazil,5.8,11548577,215313498.0
5,Greece,5.7,593136,10384971.0
6,Portugal,5.7,578234,10270865.0
7,Belarus,5.6,510764,9534954.0
8,Finland,5.6,293921,5540745.0
9,Lithuania,5.6,169685,2750055.0
10,Russia,5.5,7815714,144713314.0
11,Cuba,5.5,605879,11212191.0
12,New_Zealand,5.4,221338,5185288.0
13,Moldova,5.4,207247,3272996.0
14,Barbados,5.4,14586,281635.0
15,Germany,5.2,2116728,83369843.0
16,Spain,5.2,2408700,47558630.0
17,Czech_Republic,5.2,525488,10493986.0
18,Bulgaria,5.2,360724,6781953.0
19,Paraguay,5.2,332628,6780744.0
20,Trinidad_and_Tobago,5.2,67614,1531044.0
21,Bahamas,5.2,19138,409984.0
22,Italy,5.1,3049986,59037474.0
23,Poland,5.1,1878988,39857145.0
24,Hungary,5.1,493783,9967308.0
25,United_Arab_Emirates,5.1,444016,9441129.0
26,Austria,5.1,415916,8939617.0
27,Slovakia,5.1,268516,5643453.0
28,Croatia,5.1,205541,4030358.0
29,Bosnia_and_Herzegovina,5.1,185557,3233526.0
30,Qatar,5.1,105684,2695122.0
31,Slovenia,5.1,99864,2119844.0
32,Cyprus,5.1,42662,1251488.0
33,Djibouti,5.1,43909,1120849.0
34,Malta,5.1,20049,533286.0
35,Antigua_and_Barbuda,5.1,4424,93763.0
36,Romania,5.0,931842,19659267.0
37,Chile,5.0,844253,19603733.0
38,Switzerland,5.0,388870,8740472.0
39,Serbia,5.0,419302,7221365.0
40,Denmark,5.0,267213,5882261.0
41,Kuwait,5.0,181756,4268873.0
42,Georgia,5.0,189241,3744385.0
43,Uruguay,5.0,158005,3422794.0
44,Armenia,5.0,142712,2780469.0
45,Luxembourg,5.0,26350,647599.0
46,Iran,4.9,3637308,88550570.0
47,Tunisia,4.9,518432,12356117.0
48,Sweden,4.9,446734,10549347.0
49,Latvia,4.9,102702,1850651.0
50,Cape_Verde,4.9,24240,593149.0
51,Saint_Lucia,4.9,8892,179857.0
52,Saint_Vincent_and_the_Grenadines,4.9,5144,103948.0
53,France,4.8,2949572,64626628.0
54,Peru,4.8,1443513,34049588.0
55,Belgium,4.8,502075,11655930.0
56,Ireland,4.8,212555,5023109.0
57,Albania,4.8,131048,2842321.0
58,Jamaica,4.8,134054,2827377.0
59,Lesotho,4.8,98988,2305825.0
60,Bahrain,4.8,62549,1472233.0
61,Montenegro,4.8,28627,627082.0
62,Suriname,4.8,24914,618040.0
63,Ethiopia,4.7,4480113,123379924.0
64,Colombia,4.7,2177280,51874024.0
65,Argentina,4.7,1914354,45510318.0
66,Canada,4.7,1566903,38454327.0
67,Netherlands,4.7,752777,17564014.0
68,Dominican_Republic,4.7,464164,11228821.0
69,Lebanon,4.7,255280,5489739.0
70,Norway,4.7,227446,5434319.0
71,Costa_Rica,4.7,216608,5180829.0
72,Oman,4.7,199961,4576298.0
73,Botswana,4.7,102065,2630296.0
74,Grenada,4.7,4848,125438.0
75,South_Africa,4.6,2402230,59893885.0
76,Uganda,4.6,1747769,47249585.0
77,Azerbaijan,4.6,428873,10358074.0
78,Israel,4.6,342181,9038309.0
79,Singapore,4.6,162203,5975689.0
80,India,4.5,56675969,1417173173.0
81,United_Kingdom,4.5,2692081,67508936.0
82,Algeria,4.5,1683914,44903225.0
83,Morocco,4.5,1484441,37457971.0
84,Saudi_Arabia,4.5,1339976,36408820.0
85,Libya,4.5,265833,6812341.0
86,Guyana,4.5,33700,808726.0
87,Turkey,4.4,3260677,85341241.0
88,Thailand,4.4,2885221,71697030.0
89,Kenya,4.4,1952981,54027487.0
90,Madagascar,4.4,1041000,29611714.0
91,Kazakhstan,4.4,732699,19397998.0
92,Bolivia,4.4,453716,12224110.0
93,South_Sudan,4.4,529011,10913164.0
94,El_Salvador,4.4,255032,6336392.0
95,Panama,4.4,162293,4408581.0
96,Namibia,4.4,104001,2567012.0
97,Mauritius,4.4,52570,1299469.0
98,Comoros,4.4,33769,836774.0
99,Belize,4.4,14956,405272.0
100,Haiti,4.3,437639,11584996.0
101,Eritrea,4.3,219549,3684032.0
102,Gabon,4.3,7303,2388992.0
103,China,4.2,54815739,1425887337.0
104,Pakistan,4.2,7436224,235824862.0
105,Mexico,4.2,4936614,127504125.0
106,Japan,4.2,5058124,123951692.0
107,Uzbekistan,4.2,1186450,34627652.0
108,Ghana,4.2,110048,33475870.0
109,Venezuela,4.2,1270099,28301696.0
110,Burundi,4.2,448822,12889576.0
111,Nicaragua,4.2,238161,6948392.0
112,Turkmenistan,4.2,214010,6430770.0
113,Central_African_Republic,4.2,202081,5579144.0
114,Mongolia,4.2,117436,3398366.0
115,Equatorial_Guinea,4.2,34909,1674908.0
116,Eswatini,4.2,53223,1201670.0
117,Bhutan,4.2,30947,782455.0
118,Bangladesh,4.1,6391760,171186372.0
119,Tanzania,4.1,2138939,65497748.0
120,South_Korea,4.1,1904645,51815810.0
121,Mozambique,4.1,1122987,32969518.0
122,Sri_Lanka,4.1,802321,21832143.0
123,Malawi,4.1,679385,20405317.0
124,Kyrgyzstan,4.1,229637,6630623.0
125,Mauritania,4.1,160624,4736139.0
126,Iceland,4.1,12533,372899.0
127,Vietnam,4.0,3564934,98186856.0
128,Zambia,4.0,636819,20017675.0
129,Somalia,4.0,420387,17597511.0
130,Zimbabwe,4.0,603529,16320537.0
131,Jordan,4.0,287844,11285869.0
132,Honduras,4.0,308862,10432860.0
133,Guinea-Bissau,4.0,71467,2105566.0
134,Seychelles,4.0,3722,107118.0
135,Nigeria,3.9,7079815,218541212.0
136,Cameroon,3.9,886273,27914536.0
137,Syria,3.9,688074,22125249.0
138,Senegal,3.9,560991,17316449.0
139,Guinea,3.9,474541,13859341.0
140,Benin,3.9,411695,13352864.0
141,Togo,3.9,277532,8848699.0
142,Sierra_Leone,3.9,243895,8605718.0
143,Gambia,3.9,74821,2705992.0
144,Sao_Tome_and_Principe,3.9,7270,227380.0
145,DR_Congo,3.8,2871309,99010212.0
146,Malaysia,3.8,1127643,33938221.0
147,Ivory_Coast,3.8,843736,28160542.0
148,Rwanda,3.8,425516,13776698.0
149,Tajikistan,3.8,304018,9952787.0
150,Indonesia,3.7,9162886,275501339.0
151,Myanmar,3.7,1917983,54179306.0
152,Iraq,3.7,1263249,44496122.0
153,North_Korea,3.7,874632,26069416.0
154,Guatemala,3.7,580994,17843908.0
155,Maldives,3.7,12739,523787.0
156,Sudan,3.6,1376305,46874204.0
157,Angola,3.6,892128,35588987.0
158,Yemen,3.6,915231,33696614.0
159,Burkina_Faso,3.6,640502,22673762.0
160,Mali,3.6,605969,22593590.0
161,Egypt,3.5,2995824,110990103.0
162,Chad,3.5,478228,17723315.0
163,Liberia,3.5,155406,5302681.0
164,Fiji,3.5,30568,929766.0
165,Niger,3.4,653348,26207977.0
166,Cambodia,3.4,508823,16767842.0
167,Philippines,3.3,3298652,115559009.0
168,Afghanistan,3.3,1038610,41128771.0
169,Nepal,3.2,890361,30547580.0
170,Laos,3.2,209326,7529475.0
171,Samoa,3.2,5803,222382.0
172,Tonga,3.2,3205,106858.0
173,Vanuatu,3.1,7917,326740.0
174,Kiribati,3.1,3452,131232.0
175,Micronesia,3.1,3182,114164.0
176,Papua_New_Guinea,3.0,223094,10142619.0
177,Timor-Leste,3.0,33932,1341296.0
178,Solomon_Islands,2.9,16535,724273.0
